STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
IA,1,Minimal,2017-12-02,48,2017-18
NC,1,Minimal,2017-12-02,48,2017-18
NE,3,Minimal,2017-12-02,48,2017-18
MI,2,Minimal,2017-12-02,48,2017-18
MN,1,Minimal,2017-12-02,48,2017-18
WI,1,Minimal,2017-12-02,48,2017-18
PA,2,Minimal,2017-12-02,48,2017-18
SD,4,Low,2017-12-02,48,2017-18
AK,6,Moderate,2017-12-09,49,2017-18
MN,2,Minimal,2017-12-09,49,2017-18
RI,3,Minimal,2017-12-09,49,2017-18
SD,4,Low,2017-12-09,49,2017-18
NY,1,Minimal,2017-12-09,49,2017-18
MO,3,Minimal,2017-12-09,49,2017-18
TX,9,High,2017-12-09,49,2017-18
IA,1,Minimal,2017-12-09,49,2017-18
GA,7,Moderate,2017-12-09,49,2017-18
NV,3,Minimal,2017-12-09,49,2017-18
ME,1,Minimal,2017-12-09,49,2017-18
PA,2,Minimal,2017-12-09,49,2017-18
NH,1,Minimal,2017-12-09,49,2017-18
CA,4,Low,2017-12-09,49,2017-18
VT,1,Minimal,2017-12-09,49,2017-18
FL,1,Minimal,2017-12-09,49,2017-18
UT,1,Minimal,2017-12-09,49,2017-18
DE,1,Minimal,2017-12-09,49,2017-18
CO,4,Low,2017-12-09,49,2017-18
KS,3,Minimal,2017-12-09,49,2017-18
MI,3,Minimal,2017-12-09,49,2017-18
NM,3,Minimal,2017-12-09,49,2017-18
LA,10,High,2017-12-09,49,2017-18
VA,4,Low,2017-12-09,49,2017-18
IL,3,Minimal,2017-12-09,49,2017-18
ND,1,Minimal,2017-12-09,49,2017-18
AR,8,High,2017-12-09,49,2017-18
TN,1,Minimal,2017-12-09,49,2017-18
NJ,3,Minimal,2017-12-09,49,2017-18
KY,6,Moderate,2017-12-09,49,2017-18
HI,4,Low,2017-12-09,49,2017-18
WI,2,Minimal,2017-12-09,49,2017-18
CT,2,Minimal,2017-12-09,49,2017-18
OK,4,Low,2017-12-09,49,2017-18
PR,4,Low,2017-12-09,49,2017-18
OH,1,Minimal,2017-12-09,49,2017-18
SC,10,High,2017-12-09,49,2017-18
MA,3,Minimal,2017-12-09,49,2017-18
MS,10,High,2017-12-09,49,2017-18
WY,3,Minimal,2017-12-09,49,2017-18
NE,3,Minimal,2017-12-09,49,2017-18
MT,1,Minimal,2017-12-09,49,2017-18
ID,1,Minimal,2017-12-09,49,2017-18
MD,1,Minimal,2017-12-09,49,2017-18
OR,4,Low,2017-12-09,49,2017-18
AZ,6,Moderate,2017-12-09,49,2017-18
WA,1,Minimal,2017-12-09,49,2017-18
NC,2,Minimal,2017-12-09,49,2017-18
WV,1,Minimal,2017-12-09,49,2017-18
IN,4,Low,2017-12-09,49,2017-18
DC,4,Low,2017-12-09,49,2017-18
AL,7,Moderate,2017-12-09,49,2017-18
MD,1,Minimal,2017-12-16,50,2017-18
PR,7,Moderate,2017-12-16,50,2017-18
CA,7,Moderate,2017-12-16,50,2017-18
PA,3,Minimal,2017-12-16,50,2017-18
AK,5,Low,2017-12-16,50,2017-18
IL,6,Moderate,2017-12-16,50,2017-18
MT,1,Minimal,2017-12-16,50,2017-18
VT,2,Minimal,2017-12-16,50,2017-18
KS,7,Moderate,2017-12-16,50,2017-18
OR,5,Low,2017-12-16,50,2017-18
UT,1,Minimal,2017-12-16,50,2017-18
CO,5,Low,2017-12-16,50,2017-18
CT,3,Minimal,2017-12-16,50,2017-18
ND,1,Minimal,2017-12-16,50,2017-18
IN,3,Minimal,2017-12-16,50,2017-18
ME,1,Minimal,2017-12-16,50,2017-18
MS,10,High,2017-12-16,50,2017-18
NH,1,Minimal,2017-12-16,50,2017-18
IA,1,Minimal,2017-12-16,50,2017-18
NJ,4,Low,2017-12-16,50,2017-18
KY,10,High,2017-12-16,50,2017-18
MO,5,Low,2017-12-16,50,2017-18
MN,2,Minimal,2017-12-16,50,2017-18
OK,10,High,2017-12-16,50,2017-18
VA,5,Low,2017-12-16,50,2017-18
NV,6,Moderate,2017-12-16,50,2017-18
ID,1,Minimal,2017-12-16,50,2017-18
NC,1,Minimal,2017-12-16,50,2017-18
WY,3,Minimal,2017-12-16,50,2017-18
